Beat,Tag,Window_Rate,Window_Power,Window_Rate_Norm,Window_Power_Norm,Perf_Target,Pwr_Target
1,13,0.394706,6.031467,0.592738871,12.062934,,
2,14,0.590052,6.034872,0.88609435,12.069744,,
3,15,0.70301,6.036062,1.055725918,12.072124,,
4,16,0.812049,6.023391,1.219472235,12.046782,,
5,17,0.840566,5.998976,1.262296854,11.997952,,
6,18,0.893473,5.976228,1.341748486,11.952456,,
7,19,0.925226,5.954354,1.389432679,11.908708,,
8,20,0.935413,5.922986,1.404730726,11.845972,,
9,21,0.838383,5.871667,1.259018594,11.743334,,
10,22,0.841353,5.854269,1.26347871,11.708538,,
11,23,0.859035,5.839338,1.290032167,11.678676,,
12,24,0.869712,5.822437,1.306066058,11.644874,,
13,25,0.901689,5.81557,1.354086637,11.63114,,
14,26,0.92389,5.804734,1.387426378,11.609468,,
15,27,0.913998,5.790589,1.372571339,11.581178,,
16,28,0.948942,5.78748,1.42504753,11.57496,,
17,29,0.880392,5.772867,1.322104454,11.545734,,
18,30,0.887541,5.766076,1.332840268,11.532152,,
19,31,0.88724,5.760664,1.332388249,11.521328,,
20,32,0.889271,5.732966,1.335438248,11.465932,,
21,33,0.94619,5.525936,1.420914789,11.051872,,
22,34,0.945065,5.379813,1.419225351,10.759626,,
23,35,0.885684,5.062161,1.330051569,10.124322,,
24,36,0.878073,4.940541,1.318621959,9.881082,,
25,37,0.807845,4.603878,1.213158993,9.207756,,
26,38,0.785125,4.473201,1.179039859,8.946402,,
27,39,0.75962,4.368529,1.140738427,8.737058,,
28,40,0.762032,4.289733,1.144360582,8.579466,,
29,41,0.79337,4.134895,1.191421561,8.26979,,
30,42,0.799151,4.039328,1.200103018,8.078656,,
31,43,0.798734,3.960721,1.1994768,7.921442,,
32,44,0.797504,3.877404,1.197629681,7.754808,,
33,45,0.758827,3.809694,1.139547561,7.619388,,
34,46,0.719358,3.739163,1.080276077,7.478326,,
35,47,0.721975,3.644472,1.084206084,7.288944,,
36,48,0.700246,3.606501,1.051575157,7.213002,,
37,49,0.742434,3.415836,1.114929825,6.831672,,
38,50,0.742626,3.339587,1.115218155,6.679174,,
39,51,0.74693,3.247613,1.121681569,6.495226,,
40,52,0.732265,3.144665,1.099658809,6.28933,,
41,53,0.709771,3.115434,1.065879063,6.230868,,
42,54,0.659529,3.067318,0.990429523,6.134636,,
43,55,0.673942,3.076341,1.012073849,6.152682,,
44,56,0.667844,3.069613,1.002916345,6.139226,,
45,57,0.713681,3.10857,1.071750798,6.21714,,
46,58,0.714054,3.081043,1.072310941,6.162086,,
47,59,0.727149,3.026997,1.091975996,6.053994,,
48,60,0.720187,2.987019,1.081521005,5.974038,,
49,61,0.701797,2.930876,1.053904328,5.861752,,
50,62,0.65188,2.863323,0.978942847,5.726646,,
51,63,0.629707,2.817906,0.945645155,5.635812,,
52,64,0.623678,2.779941,0.93659127,5.559882,,
53,65,0.639851,2.723432,0.960878628,5.446864,,
54,66,0.655354,2.653987,0.984159831,5.307974,,
55,67,0.658489,2.614443,0.988867731,5.228886,,
56,68,0.658492,2.568566,0.988872236,5.137132,,
57,69,0.645488,2.55914,0.969343837,5.11828,,
58,70,0.615878,2.599416,0.924877835,5.198832,,
59,71,0.602853,2.616591,0.9053179,5.233182,,
60,72,0.609814,2.614711,0.91577139,5.229422,,
61,73,0.625359,2.617794,0.939115666,5.235588,,
62,74,0.656293,2.625191,0.985569949,5.250382,,
63,75,0.663609,2.626723,0.99655655,5.253446,,
64,76,0.657404,2.624455,0.987238362,5.24891,,
65,77,0.655804,2.623562,0.984835606,5.247124,,
66,78,0.632316,2.616639,0.949563149,5.233278,,
67,79,0.605676,2.608654,0.909557262,5.217308,,
68,80,0.601233,2.629393,0.902885109,5.258786,,
69,81,0.626293,2.653395,0.940518274,5.30679,,
70,82,0.661977,2.712606,0.994105739,5.425212,,
71,83,0.68606,2.755526,1.030271722,5.511052,,
72,84,0.699991,2.788971,1.051192217,5.577942,,
73,85,0.687423,2.839473,1.032318569,5.678946,,
74,86,0.690468,2.887591,1.036891314,5.775182,,
75,87,0.65531,2.950903,0.984093756,5.901806,,
76,88,0.652493,2.996765,0.979863403,5.99353,,
77,89,0.657997,3.019525,0.988128884,6.03905,,
78,90,0.690697,2.997466,1.037235209,5.994932,,
79,91,0.706056,2.987029,1.060300164,5.974058,,
80,92,0.700238,2.994225,1.051563143,5.98845,,
81,93,0.696413,3.007631,1.045819054,6.015262,,
82,94,0.702819,3.027274,1.055439089,6.054548,,
83,95,0.665229,3.028969,0.998989341,6.057938,,
84,96,0.650109,3.038686,0.976283297,6.077372,,
85,97,0.651698,3.051909,0.978669534,6.103818,,
86,98,0.688814,3.097436,1.034407465,6.194872,,
87,99,0.7087,3.137823,1.064270719,6.275646,,
88,100,0.717427,3.132609,1.077376251,6.265218,,
89,101,0.691419,3.107277,1.038319452,6.214554,,
90,102,0.688233,3.071995,1.033534965,6.14399,,
91,103,0.644004,3.031846,0.967115281,6.063692,,
92,104,0.625012,3.007996,0.938594568,6.015992,,
93,105,0.627197,2.973847,0.941875832,5.947694,,
94,106,0.628914,2.94607,0.944454289,5.89214,,
95,107,0.651558,2.894199,0.978459293,5.788398,,
96,108,0.661377,2.862933,0.993204706,5.725866,,
97,109,0.646274,2.834539,0.970524191,5.669078,,
98,110,0.641511,2.811372,0.963371487,5.622744,,
99,111,0.600561,2.787142,0.901875952,5.574284,,
100,112,0.606954,2.771976,0.911476464,5.543952,,
101,113,0.594984,2.750535,0.893500845,5.50107,,
102,114,0.582651,2.731012,0.874980102,5.462024,,
103,115,0.613763,2.715474,0.921701692,5.430948,,
104,116,0.63129,2.71413,0.948022382,5.42826,,
105,117,0.622377,2.746845,0.934637529,5.49369,,
106,118,0.61977,2.76962,0.930722539,5.53924,,
107,119,0.612508,2.814432,0.91981703,5.628864,,
108,120,0.603489,2.845692,0.906272995,5.691384,,
109,121,0.596883,2.884986,0.896352616,5.769972,,
110,122,0.607854,2.906988,0.912828014,5.813976,,
111,123,0.636376,2.945328,0.955660142,5.890656,,
112,124,0.645783,2.975227,0.969786846,5.950454,,
113,125,0.655621,3.001524,0.984560791,6.003048,,
114,126,0.659086,3.026754,0.98976426,6.053508,,
115,127,0.647637,3.066896,0.972571039,6.133792,,
116,128,0.646076,3.089853,0.97022685,6.179706,,
117,129,0.62574,3.142853,0.939687822,6.285706,,
118,130,0.632231,3.166908,0.949435503,6.333816,,
119,131,0.672075,3.22181,1.009270133,6.44362,,
120,132,0.664685,3.228637,0.998172404,6.457274,,
121,133,0.680812,3.248407,1.022390682,6.496814,,
122,134,0.695555,3.266394,1.044530577,6.532788,,
