Tag	Latency Normalized	Power
12	0	0
13	0.2243860853	162.319522
14	0.2322211623	168.682955
15	0.2343580594	173.451087
16	0.2367842847	176.027998
17	0.2377492964	178.594708
18	0.237016821	183.154535
19	0.2360278519	184.824256
20	0.2381575276	188.282056
21	0.2372751511	187.51322
22	0.2367606713	187.793175
23	0.2368471289	187.425369
24	0.2374189521	185.751752
25	0.2389823296	184.974243
26	0.2384430764	184.357893
27	0.2375879219	185.753389
28	0.2372475043	186.757765
29	0.2368932516	187.537473
30	0.2363173858	188.232558
31	0.2363251975	188.703355
32	0.239572624	190.172938
33	0.2400001272	190.479083
34	0.2406746206	191.163952
35	0.2414306213	192.03983
36	0.2416688856	193.109838
37	0.2682587346	195.001681
38	0.280864107	196.478417
39	0.2867291876	197.165953
40	0.2931045327	197.796272
41	0.2979345834	198.551823
42	0.3009687129	198.917539
43	0.3057279663	198.94578
44	0.3080763011	198.84601
45	0.3248170103	199.403004
46	0.3321348984	199.715335
47	0.3417574163	200.136978
48	0.3421598504	200.1862
49	0.347306049	200.538809
50	0.3469447217	200.674124
51	0.3473662998	200.900266
52	0.3561422564	200.283549
53	0.3584990826	200.152135
54	0.3566063874	200.286174
55	0.3578012754	200.318793
56	0.3599706408	200.493375
57	0.3645215877	200.454107
58	0.3830674911	201.147433
59	0.388394689	201.254712
60	0.3919728085	201.662612
61	0.3920793886	201.672384
62	0.3911255822	201.703643
63	0.3925677696	201.720081
64	0.3959942215	201.76815
65	0.3970740934	201.732045
66	0.3956620797	201.960231
67	0.3950870595	201.961704
68	0.4128176651	201.391027
69	0.4147448643	201.628708
70	0.413363818	201.822552
71	0.4158146437	201.843847
72	0.4176192954	201.902517
73	0.4194922015	201.956238
74	0.4282235428	202.065992
75	0.4267757771	202.102849
76	0.4253350466	202.204329
77	0.426465087	202.283953
78	0.4303002135	202.36575
79	0.4378442026	202.368632
80	0.4362146889	202.304986
81	0.4351311787	202.373222
82	0.4335922487	202.509977
83	0.4380357063	202.42645
84	0.4372283946	202.480008
85	0.4374773343	202.423333
86	0.4370096638	202.418755
87	0.4372086733	202.473079
88	0.4360750974	202.644845
89	0.4377156525	202.710684
90	0.4367911278	202.849721
91	0.4396187494	202.980249
92	0.4389971483	202.99623
93	0.442021007	203.198923
94	0.4416592269	203.39147
95	0.4404258198	203.505685
96	0.4392363861	203.583637
97	0.4399513436	203.677692
98	0.4435581577	203.682921
99	0.4435533786	203.683543
100	0.4451369704	203.852106
101	0.4458147883	203.945912
102	0.4447281069	204.024668
103	0.4440412714	204.136326
104	0.4445447469	204.175455
105	0.4436808123	204.231204
106	0.4517644423	204.391141
107	0.4505218084	204.491053
108	0.4493305985	204.560646
109	0.4518955068	204.71942
110	0.4556237901	204.784021
111	0.456225505	204.819919
112	0.6174974383	181.5535
113	0.6206828437	180.603104
114	0.6236377575	179.666815
115	0.6268486321	178.695055
116	0.6314960884	177.446182
117	0.6388952734	175.781634
118	0.644617784	174.363291
119	0.6483044866	173.342108
120	0.6516609425	172.28799
121	0.6551634524	171.371239
122	0.6583616539	170.475712
123	0.663774307	169.24671
124	0.6694673461	168.069966
125	0.6746126669	166.919366
126	0.6798276388	165.831656
127	0.6840561531	164.789483
128	0.6906210894	163.451584
129	0.695091044	162.418908
130	0.7008114257	161.23476
131	0.7079526981	159.830874
132	0.7142185225	158.388307
133	0.7249596885	156.522257
134	0.7998847633	147.639124
135	0.805179505	146.682427
136	0.8377017443	143.192944
137	0.8419588805	141.348285
138	0.8505430079	139.66434
139	0.8563977605	138.507598
140	0.8626731776	137.301822
141	0.8680836251	136.216077
142	0.8755984716	135.067888
143	0.879661049	134.112803
144	0.887079739	133.031134
145	0.8894172357	131.529934
146	0.8935081606	130.373189
147	0.8929998634	129.355287
148	0.898310906	128.455306
149	0.9317993896	125.383618
150	0.9626866273	123.017077
151	0.9703163648	122.081797
152	0.9826074791	120.570678
153	0.9935496686	119.441883
154	1.0009405505	118.691608
155	1.013700543	117.572486
156	1.0172025912	116.818048
157	1.0212505647	115.919184
158	1.0265967258	113.984856
159	1.0296060208	113.01937
160	1.0383146768	111.814608
161	1.0432670673	111.115387
162	1.0804945478	109.291847
163	1.0864077087	108.547824
164	1.0885198887	107.786585
165	1.0963475228	106.977153
166	1.1042326618	106.289035
167	1.108701738	105.716584
168	1.1072301158	104.198859
169	1.1516528642	102.125015
170	1.1561424306	101.585742
171	1.1658789778	100.692174
172	1.1699108864	99.996104
173	1.1832431472	99.026544
174	1.1851649935	97.898901
175	1.1997939354	97.185837
176	1.2041850246	96.700166
177	1.2168144902	95.838297
178	1.2229544266	94.962458
179	1.2222445452	93.960985
180	1.2399255404	93.233105
181	1.2488730872	92.653611
182	1.2774823038	91.763423
183	1.2815727461	90.954279
184	1.2897239684	90.424445
185	1.2989053421	89.835433
186	1.3064650094	89.326528
187	1.3111041453	88.793078
188	1.315759393	88.32549
189	1.3427593548	87.311695
190	1.3524943462	86.789983
191	1.3615606799	85.99296
192	1.3766079211	85.426148
193	1.3782431569	84.701194
194	1.3926025763	84.080862
195	1.4004930436	83.648698
196	1.4117559862	83.195321
197	1.4179205663	82.649517
198	1.4187173388	81.949043
199	1.4278611526	81.495892
200	1.4303002188	80.899926
201	1.4447710095	80.299094
202	1.4502703213	79.94183
203	1.4555937467	79.518551
204	1.4683876333	78.931177
205	1.4975341229	78.3563
206	1.5015125862	77.20257
207	1.5110335671	76.830069
208	1.5160023523	76.491237
209	1.5421241822	75.682643
210	1.5467629956	74.939157
211	1.5506038601	74.471072
212	1.6092985269	69.020334
213	1.6108106875	69.088487
214	1.6150105541	69.158232
215	1.6189379039	69.223921
216	1.8061667047	69.898932
217	1.8002703556	69.929106
218	1.796382445	69.973266
219	1.7940982242	70.012177
220	1.7937975861	70.066619
221	1.7985013089	70.179212
222	1.7994530562	70.259115
223	1.800059987	70.378729
224	1.8004805032	70.490507
225	1.7987156271	70.590964
226	1.7966902719	70.678667
227	1.7973061077	70.778877
228	1.7922767658	70.835511
229	1.7894857868	70.907192
230	1.7858252354	70.981051
231	1.7802624967	71.069816
232	1.774878284	71.158251
233	1.7654604869	71.284346
234	1.6918831273	71.582178
235	1.6879842669	71.649955
236	1.6568331319	71.784855
237	1.647391952	71.857399
238	1.6367612205	71.908632
239	1.6313913409	71.968603
240	1.6263310588	72.041361
241	1.6217553069	72.093432
242	1.6139853987	72.145758
243	1.6100847119	72.210327
244	1.6035821888	72.290007
245	1.5965976504	72.38027
246	1.5908655681	72.466011
247	1.5886842259	72.541973
248	1.5841542333	72.643086
249	1.5495448567	72.872034
250	1.5231814895	73.087854
251	1.5202582007	73.193791
252	1.5618185346	74.090726
253	1.5565161278	74.324488
254	1.5546936363	74.530222
255	1.5478309761	74.793161
256	1.547612392	74.979497
257	1.5488713439	75.275747
258	1.5408720154	75.571031
259	1.5402684906	75.8222
260	1.5364594137	76.153246
261	1.5355883149	76.392462
262	1.5126974882	76.980673
263	1.5084651292	77.162823
264	1.5141481053	77.510291
265	1.5097311609	77.768522
266	1.5103392159	78.099131
267	1.5170263452	78.492641
268	1.5147353454	78.802111
269	1.4757152607	79.418292
270	1.477383657	79.689988
271	1.4728968567	80.030259
272	1.4737482152	80.309135
273	1.470023015	80.776658
274	1.4671946285	81.023468
275	1.4589952131	81.356496
276	1.4586710182	81.559572
277	1.4503591029	81.899838
278	1.4451323877	82.131691
279	1.4425773953	82.319401
280	1.4286839374	82.642821
281	1.4217785431	82.830855
282	1.3962246435	83.215355
283	1.3883540351	83.343568
284	1.3800185164	83.496014
285	1.3700065829	83.668605
286	1.362131054	83.820855
287	1.3567543812	83.955902
288	1.3525401549	84.075959
289	1.323679226	84.531238
290	1.3138324108	84.698673
291	1.301677689	84.910999
292	1.286249871	85.175584
293	1.2813494831	85.294222
294	1.2663831059	85.572138
295	1.2585858498	85.754993
296	1.247417456	85.973803
297	1.243869795	86.179905
298	1.2434136637	86.345996
299	1.2382016153	86.543393
300	1.2367661513	86.702224
301	1.2281021079	87.085327
302	1.2262882477	87.237947
303	1.2235494732	87.439204
304	1.217457797	87.837041
305	1.2061859245	88.562295
306	1.1973838958	88.895226
